sim_id,model,alpha,t_test,breach_rate,kupiec_pval,christo_pval,es_realized
3,GARCH-Normal,0.01,250,0.016,0.380483738238954,1.0,2.8576339684317373
3,XGBoost-Q,0.01,250,0.076,1.783662106902284e-11,0.21215902495759276,1.9533686936137975
3,Historical-VaR,0.01,250,0.016,0.380483738238954,1.0,2.8576339684317373
4,GARCH-t,0.05,58,0.05172413793103448,0.9522160163149069,0.10826140068536261,1.6493988820459382
4,GARCH-Normal,0.05,58,0.05172413793103448,0.9522160163149069,0.10826140068536261,1.6493988820459382
4,XGBoost-Q,0.05,58,0.10344827586206896,0.1001997614778738,0.6249518715764388,1.404457262254905
4,Historical-VaR,0.05,58,0.05172413793103448,0.9522160163149069,0.10826140068536261,1.6493988820459382
4,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
4,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
4,XGBoost-Q,0.01,58,0.034482758620689655,0.14285740777902822,1.0,1.6951465494194873
4,Historical-VaR,0.01,58,0.017241379310344827,0.6152964566692893,1.0,1.707878288637146
4,GARCH-t,0.05,250,0.056,0.6690657551458938,0.8060054340398742,1.5345688535342052
4,GARCH-Normal,0.05,250,0.064,0.3293742025406984,0.9728396985992332,1.4990439418792598
4,XGBoost-Q,0.05,250,0.124,5.119559107646943e-06,0.6062116615032884,1.2441870386593938
4,Historical-VaR,0.05,250,0.08,0.044446449306055236,0.27599304392509605,1.3808262181073658
4,GARCH-t,0.01,250,0.004,0.2780714900139599,1.0,1.839662892854434
4,GARCH-Normal,0.01,250,0.016,0.380483738238954,1.0,1.7331124002504168
4,XGBoost-Q,0.01,250,0.048,1.2961433017655288e-05,0.5938165372595774,1.5634149908896253
4,Historical-VaR,0.01,250,0.024,0.059353618972289524,1.0,1.7492328767853944
5,GARCH-t,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.692795872959115
5,GARCH-Normal,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.692795872959115
5,XGBoost-Q,0.05,58,0.034482758620689655,0.566622286684572,1.0,1.368537798719424
5,Historical-VaR,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.692795872959115
5,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
5,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
5,XGBoost-Q,0.01,58,0.0,0.2802578748911524,1.0,
5,Historical-VaR,0.01,58,0.017241379310344827,0.6152964566692893,1.0,1.692795872959115
5,GARCH-t,0.05,250,0.0,4.1000723660644667e-07,1.0,
5,GARCH-Normal,0.05,250,0.024,0.036605690145713465,1.0,1.7660674649574506
5,XGBoost-Q,0.05,250,0.056,0.6690657551458938,0.00028439536627700157,1.5616383612647264
5,Historical-VaR,0.05,250,0.044,0.6570559130430669,0.007157793794833278,1.6378769493230811
5,GARCH-t,0.01,250,0.0,0.024981503053449705,1.0,
5,GARCH-Normal,0.01,250,0.0,0.024981503053449705,1.0,
5,XGBoost-Q,0.01,250,0.004,0.2780714900139599,1.0,0.7942232560429404
5,Historical-VaR,0.01,250,0.012,0.7579883213733308,1.0,1.775625148699411
6,GARCH-t,0.05,58,0.0,0.014717101200455551,1.0,
6,GARCH-Normal,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.7186836453259569
6,XGBoost-Q,0.05,58,0.06896551724137931,0.5297992033445762,1.0,1.4852846342343131
6,Historical-VaR,0.05,58,0.034482758620689655,0.566622286684572,1.0,1.5951988239634947
6,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
6,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
6,XGBoost-Q,0.01,58,0.0,0.2802578748911524,1.0,
6,Historical-VaR,0.01,58,0.0,0.2802578748911524,1.0,
6,GARCH-t,0.05,250,0.148,5.733507335570209e-09,0.802309766490219,1.4373907589850055
6,GARCH-Normal,0.05,250,0.152,1.6549969172885426e-09,0.919051921674483,1.4209925771957743
6,XGBoost-Q,0.05,250,0.224,0.0,0.11802257005571715,1.1991068116594306
6,Historical-VaR,0.05,250,0.064,0.3293742025406984,0.3561236544492167,1.903336312319288
6,GARCH-t,0.01,250,0.076,1.783662106902284e-11,0.6366846004565231,1.8666055118218414
6,GARCH-Normal,0.01,250,0.076,1.783662106902284e-11,0.6366846004565231,1.8666055118218414
6,XGBoost-Q,0.01,250,0.068,1.156144957548122e-09,0.8694886459542454,1.911167201391377
6,Historical-VaR,0.01,250,0.016,0.380483738238954,1.0,2.611096750822635
7,GARCH-t,0.05,58,0.05172413793103448,0.9522160163149069,1.0,2.226206422390469
7,GARCH-Normal,0.05,58,0.08620689655172414,0.24909991485866112,1.0,1.9568673248706883
7,XGBoost-Q,0.05,58,0.1896551724137931,0.00014907452301948787,0.9312368329264693,1.4119769877763
7,Historical-VaR,0.05,58,0.10344827586206896,0.1001997614778738,0.5085519372685593,1.828925853650855
7,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
7,GARCH-Normal,0.01,58,0.05172413793103448,0.02360405908935692,1.0,2.226206422390469
7,XGBoost-Q,0.01,58,0.05172413793103448,0.02360405908935692,1.0,2.226206422390469
7,Historical-VaR,0.01,58,0.034482758620689655,0.14285740777902822,1.0,2.35731435521235
7,GARCH-t,0.05,250,0.024,0.036605690145713465,1.0,2.129918475358704
7,GARCH-Normal,0.05,250,0.04,0.45291244993520263,1.0,1.933299504582708
7,XGBoost-Q,0.05,250,0.06,0.4812385279526591,0.28020572726503534,1.6957021965191847
7,Historical-VaR,0.05,250,0.064,0.3293742025406984,0.3561236544492167,1.7086876433580853
7,GARCH-t,0.01,250,0.0,0.024981503053449705,1.0,
7,GARCH-Normal,0.01,250,0.016,0.380483738238954,1.0,2.2348312314226124
7,XGBoost-Q,0.01,250,0.024,0.059353618972289524,1.0,2.1307619372531175
7,Historical-VaR,0.01,250,0.02,0.1618549171960365,1.0,2.1301170878769335
8,GARCH-t,0.05,58,0.1206896551724138,0.03490665780790292,0.8600837305914304,1.46897076181007
8,GARCH-Normal,0.05,58,0.1206896551724138,0.03490665780790292,0.8600837305914304,1.46897076181007
8,XGBoost-Q,0.05,58,0.05172413793103448,0.9522160163149069,1.0,1.766197263858478
8,Historical-VaR,0.05,58,0.05172413793103448,0.9522160163149069,1.0,1.766197263858478
8,GARCH-t,0.01,58,0.08620689655172414,0.0003031273422592351,0.41026037736228527,1.6339385888878346
8,GARCH-Normal,0.01,58,0.10344827586206896,2.5506905097061328e-05,0.6249518715764388,1.5720151644727647
8,XGBoost-Q,0.01,58,0.0,0.2802578748911524,1.0,
8,Historical-VaR,0.01,58,0.0,0.2802578748911524,1.0,
8,GARCH-t,0.05,250,0.048,0.8838996943305626,1.0,2.572781646777746
8,GARCH-Normal,0.05,250,0.104,0.0005718444785519639,0.6143948283422973,2.0834651512708504
8,XGBoost-Q,0.05,250,0.18,1.2367884494324244e-13,0.43348949748193244,1.6303126788759057
8,Historical-VaR,0.05,250,0.064,0.3293742025406984,1.0,2.3576704208335455
8,GARCH-t,0.01,250,0.012,0.7579883213733308,1.0,3.8716044974788795
8,GARCH-Normal,0.01,250,0.052,2.3114936901214023e-06,1.0,2.5799909138115633
8,XGBoost-Q,0.01,250,0.092,2.220446049250313e-15,0.9227362399442068,2.2072025800073938
8,Historical-VaR,0.01,250,0.024,0.059353618972289524,1.0,2.947195044093013
9,GARCH-t,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.7733083359309245
9,GARCH-Normal,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.7733083359309245
9,XGBoost-Q,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.7733083359309245
9,Historical-VaR,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.7733083359309245
9,GARCH-t,0.01,58,0.0,0.2802578748911524,1.0,
9,GARCH-Normal,0.01,58,0.0,0.2802578748911524,1.0,
9,XGBoost-Q,0.01,58,0.0,0.2802578748911524,1.0,
9,Historical-VaR,0.01,58,0.0,0.2802578748911524,1.0,
9,GARCH-t,0.05,250,0.008,0.00017085611685885294,1.0,2.7421448309286953
9,GARCH-Normal,0.05,250,0.024,0.036605690145713465,1.0,2.07974015044146
9,XGBoost-Q,0.05,250,0.096,0.002886808755840242,0.6293415603548427,1.5406443585882332
9,Historical-VaR,0.05,250,0.044,0.6570559130430669,0.4940636998432081,1.8728343683494246
9,GARCH-t,0.01,250,0.0,0.024981503053449705,1.0,
9,GARCH-Normal,0.01,250,0.008,0.7419327009525927,1.0,2.7421448309286953
9,XGBoost-Q,0.01,250,0.008,0.7419327009525927,1.0,2.7421448309286953
9,Historical-VaR,0.01,250,0.012,0.7579883213733308,0.019847210337081034,2.49645620578613
10,GARCH-t,0.05,58,0.13793103448275862,0.01064869216888753,1.0,1.4827960107647673
10,GARCH-Normal,0.05,58,0.10344827586206896,0.1001997614778738,1.0,1.6313392108931994
10,XGBoost-Q,0.05,58,0.27586206896551724,1.6674122749193998e-08,0.7327287618769405,1.0317561355300657
10,Historical-VaR,0.05,58,0.10344827586206896,0.1001997614778738,1.0,1.6313392108931994
10,GARCH-t,0.01,58,0.05172413793103448,0.02360405908935692,1.0,2.045938884338462
10,GARCH-Normal,0.01,58,0.05172413793103448,0.02360405908935692,1.0,2.045938884338462
10,XGBoost-Q,0.01,58,0.15517241379310345,6.060853263711863e-09,1.0,1.4088844312823872
10,Historical-VaR,0.01,58,0.06896551724137931,0.0029859389941127024,1.0,1.8893277132869297
10,GARCH-t,0.05,250,0.024,0.036605690145713465,0.11954364333624434,2.2667418066973504
10,GARCH-Normal,0.05,250,0.024,0.036605690145713465,0.11954364333624434,2.2667418066973504
10,XGBoost-Q,0.05,250,0.036,0.28602152157354077,0.3157401924103128,2.0346510902033246
10,Historical-VaR,0.05,250,0.056,0.6690657551458938,0.8060054340398742,1.7276398129957968
10,GARCH-t,0.01,250,0.004,0.2780714900139599,1.0,3.0503596724206234
10,GARCH-Normal,0.01,250,0.004,0.2780714900139599,1.0,3.0503596724206234
10,XGBoost-Q,0.01,250,0.008,0.7419327009525927,1.0,2.6148812721697667
10,Historical-VaR,0.01,250,0.024,0.059353618972289524,1.0,2.034823286374138
11,GARCH-t,0.05,58,0.1206896551724138,0.03490665780790292,1.0,2.4267248984029304
11,GARCH-Normal,0.05,58,0.1206896551724138,0.03490665780790292,1.0,2.4267248984029304
11,XGBoost-Q,0.05,58,0.1724137931034483,0.0006905869430211542,1.0,2.095020913763796
11,Historical-VaR,0.05,58,0.13793103448275862,0.01064869216888753,1.0,2.325677198362485
11,GARCH-t,0.01,58,0.06896551724137931,0.0029859389941127024,1.0,2.879727381171779
11,GARCH-Normal,0.01,58,0.06896551724137931,0.0029859389941127024,1.0,2.879727381171779
11,XGBoost-Q,0.01,58,0.10344827586206896,2.5506905097061328e-05,1.0,2.5990298429960514
11,Historical-VaR,0.01,58,0.05172413793103448,0.02360405908935692,1.0,3.171912154732677
11,GARCH-t,0.05,250,0.02,0.01373817726098514,1.0,2.766326005730972
11,GARCH-Normal,0.05,250,0.02,0.01373817726098514,1.0,2.766326005730972
11,XGBoost-Q,0.05,250,0.04,0.45291244993520263,1.0,2.3201695401600673
11,Historical-VaR,0.05,250,0.06,0.4812385279526591,1.0,2.0065378902928246
11,GARCH-t,0.01,250,0.008,0.7419327009525927,1.0,3.6202559831196033
